order_id,user_id,order_time,product_category,product_subcategory,product_name,unit_price,quantity,total_amount,province,city,gender,age,is_member
168377,7847,06:07.2,运动配饰,手套,足球守门员手套,357.64,2,715.28,浙江,温州,女,31,是
284596,556,46:47.4,运动服装,上衣,训练背心,178.25,1,178.25,江苏,苏州,女,31,是
366285,874,28:57.6,运动服装,外套,保暖外套,831.61,2,1663.22,山东,青岛,男,18,是
382851,7675,53:04.6,运动配饰,手套,训练手套,185.46,3,556.38,湖南,株洲,女,23,是
445750,7033,54:40.3,运动服装,套装,赛事套装,685.79,3,2057.37,天津,天津,男,18,是
302036,5848,15:30.9,运动鞋,休闲鞋,大陆80系列,784.99,1,784.99,广西,柳州,女,31,否
19230,4602,31:15.5,运动鞋,休闲鞋,大陆80系列,707.01,2,1414.02,宁夏,银川,女,43,是
178162,9105,38:49.0,运动鞋,跑步鞋,极速系列,803.09,3,2409.27,福建,厦门,男,29,是
78247,768,25:31.8,运动服装,下装,跑步紧身裤,345.65,1,345.65,海南,海口,女,30,否
203323,9119,59:20.8,运动鞋,跑步鞋,阿尔法弹力,684.68,1,684.68,江西,九江,男,26,是
336962,7446,04:44.2,运动服装,上衣,跑步T恤,304.88,1,304.88,浙江,杭州,女,18,否
339964,5075,08:02.4,运动服装,外套,保暖外套,816.08,1,816.08,广东,中山,女,45,否
6597,4021,23:14.0,运动配饰,袜子,跑步袜,126.5,1,126.5,重庆,重庆,女,21,是
450298,3535,05:31.5,运动服装,下装,训练短裤,145.66,2,291.32,福建,福州,女,54,是
43316,3701,45:04.6,运动服装,套装,赛事套装,958.01,2,1916.02,辽宁,鞍山,女,29,是
89948,3452,53:27.7,运动服装,下装,训练紧身裤,228.1,2,456.2,四川,成都,女,28,是
251771,2751,31:15.9,运动鞋,篮球鞋,D罗斯系列,1415.86,1,1415.86,辽宁,抚顺,女,21,否
281737,4497,04:43.3,运动服装,下装,篮球短裤,242.91,1,242.91,江苏,南京,女,26,是
306215,9818,53:28.3,运动配饰,手套,足球守门员手套,302.62,2,605.24,河南,洛阳,女,49,是
304051,2140,17:11.4,运动服装,上衣,跑步T恤,207.01,1,207.01,北京,北京,男,31,是
19760,2898,55:47.1,运动服装,套装,篮球套装,1064.43,2,2128.86,河北,唐山,女,20,是
158060,8304,09:11.0,运动鞋,休闲鞋,贝壳头系列,574.34,1,574.34,宁夏,石嘴山,女,30,是
412500,1098,39:52.6,运动服装,外套,羽绒服,1218.4,2,2436.8,江西,九江,女,36,是
217409,9900,29:04.3,运动服装,上衣,运动POLO衫,314.77,1,314.77,四川,乐山,女,32,是
308316,2759,42:52.1,运动服装,上衣,训练背心,211.21,2,422.42,陕西,渭南,男,18,是
465215,3999,10:52.7,运动服装,上衣,训练T恤,187.31,2,374.62,陕西,渭南,女,21,是
27839,9785,14:52.2,运动服装,套装,篮球套装,1297.98,1,1297.98,江西,南昌,女,19,否
231712,9905,38:46.2,运动鞋,训练鞋,阿尔法训练师,832.86,2,1665.72,浙江,杭州,男,31,是
410728,7482,25:42.9,运动鞋,休闲鞋,加赛尔系列,800.91,1,800.91,浙江,绍兴,男,19,是
